Time [s],Change in time [s],Time [h],Change in time [h],Throughput capacity [A.h],Change in throughput capacity [A.h],Throughput energy [W.h],Change in throughput energy [W.h],Loss of lithium inventory [%],Change in loss of lithium inventory [%],"Loss of lithium inventory, including electrolyte [%]","Change in loss of lithium inventory, including electrolyte [%]",Total lithium [mol],Change in total lithium [mol],Total lithium in electrolyte [mol],Change in total lithium in electrolyte [mol],Total lithium in particles [mol],Change in total lithium in particles [mol],Total lithium lost [mol],Change in total lithium lost [mol],Total lithium lost from particles [mol],Change in total lithium lost from particles [mol],Total lithium lost from electrolyte [mol],Change in total lithium lost from electrolyte [mol],Loss of lithium to negative SEI [mol],Change in loss of lithium to negative SEI [mol],Loss of capacity to negative SEI [A.h],Change in loss of capacity to negative SEI [A.h],Loss of lithium to positive SEI [mol],Change in loss of lithium to positive SEI [mol],Loss of capacity to positive SEI [A.h],Change in loss of capacity to positive SEI [A.h],Total lithium lost to side reactions [mol],Change in total lithium lost to side reactions [mol],Total capacity lost to side reactions [A.h],Change in total capacity lost to side reactions [A.h],Local ECM resistance [Ohm],Change in local ECM resistance [Ohm],Negative electrode capacity [A.h],Change in negative electrode capacity [A.h],Loss of active material in negative electrode [%],Change in loss of active material in negative electrode [%],Total lithium in negative electrode [mol],Change in total lithium in negative electrode [mol],Loss of lithium to negative lithium plating [mol],Change in loss of lithium to negative lithium plating [mol],Loss of capacity to negative lithium plating [A.h],Change in loss of capacity to negative lithium plating [A.h],Loss of lithium to negative SEI on cracks [mol],Change in loss of lithium to negative SEI on cracks [mol],Loss of capacity to negative SEI on cracks [A.h],Change in loss of capacity to negative SEI on cracks [A.h],Positive electrode capacity [A.h],Change in positive electrode capacity [A.h],Loss of active material in positive electrode [%],Change in loss of active material in positive electrode [%],Total lithium in positive electrode [mol],Change in total lithium in positive electrode [mol],Loss of lithium to positive lithium plating [mol],Change in loss of lithium to positive lithium plating [mol],Loss of capacity to positive lithium plating [A.h],Change in loss of capacity to positive lithium plating [A.h],Loss of lithium to positive SEI on cracks [mol],Change in loss of lithium to positive SEI on cracks [mol],Loss of capacity to positive SEI on cracks [A.h],Change in loss of capacity to positive SEI on cracks [A.h],x_100,y_100,Un(x_100),Up(y_100),Up(y_100) - Un(x_100),Q_Li,n_Li,Q_n,Q_p,Cyclable lithium capacity [A.h],Cyclable lithium capacity [mA.h.cm-2],Negative electrode capacity [mA.h.cm-2],Positive electrode capacity [mA.h.cm-2],Formation capacity loss [A.h],Formation capacity loss [mA.h.cm-2],Negative positive ratio,NPR,Q,Capacity [A.h],Capacity [mA.h.cm-2],x_0,y_0,Un(x_0),Up(y_0),Up(y_0) - Un(x_0),x_100 - x_0,y_0 - y_100,Q_n * (x_100 - x_0),Q_p * (y_0 - y_100),Negative electrode excess capacity ratio,Positive electrode excess capacity ratio,Practical negative positive ratio,Practical NPR,Maximum theoretical energy [W.h],Cycle number
12384.937724142244,12384.937724142244,3.4402604789284013,3.4402604789284013,9.340017440208477,9.340017440208477,35.307674645455435,35.307674645455435,0.331420197783757,0.33142019778372855,0.3252716934102722,0.3252716934102864,0.28839269409244034,-0.0009411209999596881,0.005367718200000005,-8.673617379884035e-19,0.28302497589244036,-0.0009411209999596881,0.0009411209999596881,0.0009411209999596881,0.0009411209999596881,0.0009411209999596881,-3.469446951953614e-18,8.673617379884035e-19,5.398294478825078e-06,5.398294478825078e-06,0.00014468228768638874,0.0001446822876863896,0.0,0.0,0.0,0.0,0.0009386493371261028,0.0009386493371261028,0.025157192510230523,0.025157192510230523,-0.061667011823850516,-0.09320405327656814,5.827533010748244,-8.205776113356933e-05,0.0014080847854671674,0.0014080847854387457,0.19573796835644927,-0.00025855262355073405,0.0008496350599949142,0.0008496350599949142,0.022771478040112612,0.022771478040112612,8.361598265236351e-05,8.361598265236351e-05,0.0022410321824315148,0.0022410321824315148,8.732258230170325,-6.0290142574359606e-05,0.0006904253713599928,0.0006904253714026254,0.08728700753599111,-0.0006825683764089402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9029192833419772,0.2661048910627832,0.0849186328454831,4.284918632845477,4.199999999999994,7.5854885547880855,0.28302497589244036,5.827533010748244,8.732258230170325,7.5854885547880855,7.386064805051688,5.674326203260216,8.502685715842574,1.1467696753822398,1.1166209107908855,0.6673569261401213,0.6673569261401213,5.086268653081332,5.086268653081332,4.952549808258355,0.030119653773123915,0.8485737689880897,1.1098001912580593,3.609800191258063,2.5000000000000036,0.8727996295688534,0.5824688779253064,5.086268653081332,5.086268653081332,1.1457383414495506,1.7168299249942691,1.1112290992904967,1.1112290992904967,18.948143799704965,1
24782.79409394252,12397.856369799276,6.884109470539589,3.44384899161091,18.695158628290837,9.35514118808236,70.68645485798147,35.37878021252604,0.3480390548474048,0.01661885706364785,0.34158223759490625,0.016310544184634068,0.2883455021726887,-4.71919197516657e-05,0.005367718200000006,8.673617379884035e-19,0.2829777839726887,-4.71919197516657e-05,0.0009883129197113538,4.71919197516657e-05,0.0009883129197113538,4.71919197516657e-05,-4.336808689942018e-18,-8.673617379884035e-19,1.0645004082937863e-05,5.246709604112785e-06,0.00028530187621139246,0.00014061958852500372,0.0,0.0,0.0,0.0,0.0009833770862527167,4.472774912661387e-05,0.026355962435080905,0.0011987699248503826,-0.06258032648631168,-0.09344619402428184,5.827451885158232,-8.112559001194342e-05,0.002800173814307527,0.0013920890288403598,0.19569366422781953,-4.430412862974076e-05,0.000854432471466216,4.7974114713018705e-06,0.02290005577320285,0.00012857773309023907,0.00011829961070356278,3.468362805119927e-05,0.003170604785666657,0.0009295726032351424,8.73219796111756,-6.026905276534933e-05,0.001380609228348817,0.0006901838569888241,0.08728411974486916,-2.8877911219526986e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9027235618754871,0.26610088655333736,0.08493112749323305,4.284931127493661,4.200000000000428,7.584223741440689,0.28297778397268863,5.827451885158232,8.73219796111756,7.584223741440689,7.38483324385656,5.674247210475395,8.502627031273182,1.147974219676871,1.117793787416622,0.6673522417959963,0.6673522417959963,5.085085399906915,5.085085399906915,4.951397663005758,0.03011482994275824,0.8484382800194055,1.1099098167461006,3.6099098167461006,2.5,0.8726087319327288,0.5823373934660682,5.085085399906915,5.085085399906915,1.1459889907188001,1.7172175635983238,1.1114777271470304,1.1114777271470304,18.943964165583644,2
37180.55848444069,12397.76439049717,10.327932912344636,3.443823441804769,28.048032680985607,9.35287405269477,106.05713324411622,35.37067838613474,0.36177787544760065,0.013738820600195822,0.3550661757252982,0.013483938130391948,0.28830648858007124,-3.901359261743176e-05,0.005367718200000002,-3.469446951953614e-18,0.28293877038007126,-3.901359261743176e-05,0.0010273265123287856,3.901359261743176e-05,0.0010273265123287856,3.901359261743176e-05,-8.673617379884035e-19,3.469446951953614e-18,1.574733000631577e-05,5.102325923377906e-06,0.00042205176823961483,0.00013674989202822237,0.0,0.0,0.0,0.0,0.0010199265113842544,3.65494251315377e-05,0.027335541163584096,0.0009795787285031901,-0.0633724381024444,-0.09422857231376068,5.827370762882605,-8.112227562673269e-05,0.0041922059693746405,0.0013920321550671133,0.19565709776059806,-3.656646722147161e-05,0.0008592680583074407,4.83558684122472e-06,0.02302965666275026,0.0001296008895474085,0.00014491112307049803,2.661151236693525e-05,0.0038838327325942204,0.0007132279469275631,8.732137708114617,-6.025300294254521e-05,0.0020706092873581383,0.0006900000590093214,0.08728167261947319,-2.4471253959740258e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9025641668991313,0.2660977368005777,0.08494095543223797,4.284940955432438,4.2000000000002,7.583178119373777,0.28293877038007126,5.827370762882605,8.732137708114617,7.583178119373777,7.38381511136687,5.674168220917823,8.50256836233166,1.1489595887408406,1.118753250964791,0.667347556540174,0.667347556540174,5.084108783094789,5.084108783094789,4.950446721611283,0.03011087879225777,0.8483273068141401,1.1099996063078221,3.6099996063078263,2.5000000000000044,0.8724532881068735,0.5822295700135625,5.084108783094789,5.084108783094789,1.1461931700319323,1.717535576176088,1.111680286416587,1.111680286416587,18.940513004503014,3
49578.22789284279,12397.669408401103,13.771729970234109,3.4437970578891957,37.39897258628035,9.350939905294744,141.42090039325478,35.36376714913857,0.3739876527183412,0.012209777270740574,0.3670494373236721,0.011983261598373929,0.2882718169521163,-3.4671627954951934e-05,0.005367718200000003,8.673617379884035e-19,0.2829040987521163,-3.4671627954951934e-05,0.0010619981402837375,3.4671627954951934e-05,0.0010619981402837375,3.4671627954951934e-05,-1.734723475976807e-18,-8.673617379884035e-19,2.071654863432628e-05,4.969218628010511e-06,0.0005552341876008627,0.0001331824193612479,0.0,0.0,0.0,0.0,0.0010521339929212875,3.220748153703315e-05,0.028198749372708932,0.0008632082091248362,-0.06410277067032943,-0.09495090530220729,5.827289643276325,-8.111960628021109e-05,0.005584192319290082,0.0013919863499154417,0.19562460294761452,-3.2494812983535626e-05,0.0008640719439250894,4.8038856176486075e-06,0.02315840791255174,0.00012875124980148145,0.00016734550036187168,2.243437729137365e-05,0.004485107272556325,0.0006012745399621047,8.732077469085656,-6.023902896146183e-05,0.002760449320348357,0.0006898400329902188,0.08727949580450176,-2.1768149714301854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024240390503817,0.2660950524105137,0.08494933151171612,4.284949331511836,4.20000000000012,7.582248868390892,0.2829040987521162,5.827289643276325,8.732077469085656,7.582248868390892,7.382910290546144,5.674089233959419,8.502509706996742,1.1498286006947636,1.1195994164505971,0.667342870457436,0.667342870457436,5.083241769383987,5.083241769383987,4.949602501834455,0.030107390906907172,0.8482293483303892,1.1100788655430238,3.6100788655430267,2.5000000000000027,0.8723166481434745,0.5821342959198755,5.083241769383987,5.083241769383987,1.1463727101027708,1.7178166739340146,1.111858418794696,1.111858418794696,18.93744815314796,4
61975.8126879336,12397.58479508981,17.215503524425998,3.443773554191612,46.748170594612695,9.349198008332344,176.77844213150817,35.35754173825339,0.3851884477742544,0.011200795055913204,0.37804243533567217,0.010992998012000044,0.2882400104915751,-3.1806460541183856e-05,0.005367718199999997,-6.071532165918825e-18,0.2828722922915751,-3.1806460541183856e-05,0.0010938046008249214,3.1806460541183856e-05,0.0010938046008249214,3.1806460541183856e-05,4.336808689942018e-18,6.071532165918825e-18,2.556254517953186e-05,4.84599654520558e-06,0.0006851140726332325,0.00012987988503236972,0.0,0.0,0.0,0.0,0.0010814763384223345,2.9342345501046953e-05,0.028985167692389017,0.000786418319680085,-0.06478774505673185,-0.09562881461495737,5.827208526114216,-8.111716210912334e-05,0.006976136728056304,0.0013919444087662214,0.19559481182389274,-2.9791123721784052e-05,0.0008688028701766287,4.730926251539326e-06,0.02328520374327813,0.00012679583072638945,0.000187110923066174,1.9765422704302318e-05,0.005014849876477657,0.0005297426039213319,8.732017242786583,-6.02262990732072e-05,0.003450143574326603,0.0006896942539782458,0.08727748046768237,-2.0153368193859267e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022966145249302,0.2660926814836744,0.08495672963008104,4.284956729630167,4.200000000000086,7.581396408138428,0.28287229229157507,5.827208526114216,8.732017242786583,7.581396408138428,7.382080241614825,5.674010249380929,8.502451064057041,1.150620834648155,1.1203708224422149,0.6673381836170794,0.6673381836170794,5.0824470236946135,5.0824470236946135,4.94882865014081,0.030104208689787505,0.848139977358309,1.1101511765478065,3.610151176547808,2.5000000000000018,0.8721924058351427,0.5820472958746347,5.0824470236946135,5.0824470236946135,1.1465360089239471,1.718073440230168,1.1120204496409445,1.1120204496409445,18.934637973667652,5
74373.33738334461,12397.524695410015,20.659260384262392,3.4437568598361175,56.09575918917643,9.347588594563732,212.13023094206042,35.35178881055225,0.3956492630568391,0.01046081528258469,0.3883091816721418,0.010266746336469623,0.2882103053227139,-2.9705168861193787e-05,0.005367718199999995,-1.734723475976807e-18,0.28284258712271393,-2.9705168861193787e-05,0.0011235097696861152,2.9705168861193787e-05,0.0011235097696861152,2.9705168861193787e-05,6.071532165918825e-18,1.734723475976807e-18,3.0294044061548808e-05,4.731498882016948e-06,0.000811925250704568,0.00012681117807133557,0.0,0.0,0.0,0.0,0.001108717428991958,2.724109056962353e-05,0.029715269267644884,0.0007301015752558676,-0.06543381984994019,-0.09626851523230935,5.827127411275857,-8.11148383590421e-05,0.008368041261974213,0.0013919045339179092,0.19556702885505026,-2.7782968842482436e-05,0.000873442619880542,4.639749703913283e-06,0.0234095559074825,0.00012435216420437004,0.00020498076504986724,1.7869841983693245e-05,0.005493788109457814,0.0004789382329801568,8.731957028335433,-6.021445114967605e-05,0.004139702149259961,0.0006895585749333577,0.0872755582676637,-1.9222000186697175e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9021784997366618,0.2660905444674409,0.08496339797470591,4.284963397974777,4.200000000000071,7.580600265615303,0.2828425871227139,5.827127411275857,8.731957028335433,7.580600265615303,7.381305029810419,5.673931267065098,8.502392432653778,1.1513567627201304,1.1210874028433595,0.6673334960727215,0.6673334960727215,5.081705243038369,5.081705243038369,4.948106371020806,0.030101250626757007,0.8480569039614352,1.1102183921305429,3.6102183921305433,2.5000000000000004,0.8720772491099047,0.5819663594939943,5.081705243038369,5.081705243038369,1.1466874075899367,1.7183123795496973,1.1121706825435256,1.1121706825435256,18.932014417802463,6
86770.85489863105,12397.517515285435,24.103015249619737,3.443754865357068,65.44183844403705,9.34607925486062,247.476624327912,35.34639338585157,0.40552885581134035,0.009879592754501232,0.3980054883153059,0.009696306643164121,0.2881822506287801,-2.805469393379889e-05,0.005367718200000007,1.1275702593849246e-17,0.28281453242878013,-2.805469393379889e-05,0.001151564463619914,2.805469393379889e-05,0.001151564463619914,2.805469393379889e-05,-5.204170427930421e-18,-1.1275702593849246e-17,3.491879766621798e-05,4.6247536046691755e-06,0.0009358754972378109,0.00012395024653324288,0.0,0.0,0.0,0.0,0.001134308084174748,2.5590655182789997e-05,0.03040113673000041,0.0006858674623555251,-0.06604454970870728,-0.09687347737583869,5.827046298600416,-8.111267544119727e-05,0.009759908680962326,0.001391867418988113,0.19554084269227093,-2.618616277932917e-05,0.0008779748509991484,4.532231118606475e-06,0.023531026414350103,0.00012147050686760197,0.00022141443550938161,1.6433670459514374e-05,0.005934234818412501,0.0004404467089546872,8.731896825059444,-6.02032759893234e-05,0.0048291327495206815,0.0006894306002607209,0.08727368973650919,-1.8685311545113548e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902067693171662,0.26608859360475284,0.08496948553602317,4.284969485536084,4.200000000000061,7.579848358264822,0.2828145324287801,5.827046298600416,8.731896825059444,7.579848358264822,7.380572890228647,5.673852286855321,8.50233381213188,1.1520484667946214,1.1217609219032338,0.6673288078573635,0.6673288078573635,5.0810050424586946,5.0810050424586946,4.947424578830276,0.030098468612885277,0.847978776717871,1.1102816057387677,3.6102816057387717,2.500000000000004,0.8719692245587768,0.5818901831131181,5.0810050424586946,5.0810050424586946,1.1468294658059839,1.7185373271808613,1.1123116551250907,1.1123116551250907,18.92953735970939,7
99168.41785375401,12397.56295512196,27.546782737153894,3.4437674875338793,74.7864884824417,9.344650038404652,282.8179089680154,35.341284640103396,0.41493452965291056,0.009405673841570206,0.40723666818477966,0.009231179869473749,0.28815554170388585,-2.670892489425869e-05,0.005367718200000003,-3.469446951953614e-18,0.28278782350388587,-2.670892489425869e-05,0.0011782733885141727,2.670892489425869e-05,0.0011782733885141727,2.670892489425869e-05,-1.734723475976807e-18,3.469446951953614e-18,3.944372302156976e-05,4.524925355351778e-06,0.0010571501988292922,0.0001212747015914813,0.0,0.0,0.0,0.0,0.001158553011373382,2.424492719863393e-05,0.031050936689163026,0.0006497999591626169,-0.06662185188985573,-0.09744556748467917,5.826965187991112,-8.111060930371394e-05,0.011151740645644281,0.0013918319646819555,0.1955159788266463,-2.486386562464138e-05,0.0008823980430141075,4.42319201495909e-06,0.023649574511737277,0.00011854809738717428,0.00023671124533770462,1.529680982832301e-05,0.006344211978596454,0.00040997716018395264,8.731836632412767,-6.019264667678215e-05,0.005518441625923742,0.0006893088764030608,0.08727184467723957,-1.8450592696173107e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019628457027935,0.26608679417130826,0.08497510064691505,4.284975100646904,4.1999999999999895,7.579132519517882,0.28278782350388587,5.826965187991112,8.731836632412767,7.579132519517882,7.3798758710008565,5.673773308657362,8.502275201959849,1.1527041128948854,1.1223993309589924,0.6673241190016418,0.6673241190016418,5.0803387482705595,5.0803387482705595,4.946775801626639,0.030095830135116453,0.847904682221599,1.1103415564174028,3.610341556417398,2.499999999999995,0.8718670155676771,0.5818178880502908,5.0803387482705595,5.0803387482705595,1.1469639086517052,1.718750867820624,1.1124450776858144,1.1124450776858144,18.927179764928365,8
111566.07283437059,12397.654980615567,30.990575787325163,3.443793050170992,84.12977564469958,9.34328716225788,318.15432239925775,35.33641343124236,0.4239433139176185,0.00900878426470797,0.4160783215690316,0.008841653384251913,0.2881299598108319,-2.5581893053960858e-05,0.005367718199999997,-6.071532165918825e-18,0.2827622416108319,-2.5581893053960858e-05,0.0012038552815681336,2.5581893053960858e-05,0.0012038552815681336,2.5581893053960858e-05,4.336808689942018e-18,6.071532165918825e-18,4.387502084599279e-05,4.431297824423027e-06,0.0011759155439159822,0.00011876534508668997,0.0,0.0,0.0,0.0,0.0011816709479640498,2.3117936590667885e-05,0.03167053163079627,0.0006195949416332447,-0.0671689908798819,-0.09798802186846564,5.82688407933087,-8.110866024235719e-05,0.012543539165093875,0.001391798519449594,0.1954922252511416,-2.375357550468693e-05,0.0008867168442288068,4.318801214699304e-06,0.023765324781059645,0.00011575026932236776,0.00025107908288925023,1.4367837551545608e-05,0.006729291305820646,0.00038507932722419216,8.731776449935333,-6.018247743355687e-05,0.006207634047086685,0.000689192421162943,0.08727001635969033,-1.8283175492461723e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901863142298973,0.26608501885244257,0.0849806405804493,4.284980640580176,4.199999999999727,7.578446886893554,0.2827622416108318,5.82688407933087,8.731776449935333,7.578446886893554,7.379208263771716,5.673694332357223,8.502216601689708,1.1533295630417797,1.1230083379179936,0.6673194295273126,0.6673194295273126,5.0797017458598805,5.0797017458598805,4.94615554611478,0.03009331185415523,0.8478339647840005,1.1103987746898814,3.6103987746898785,2.4999999999999973,0.8717698304448178,0.5817489459315579,5.0797017458598805,5.0797017458598805,1.1470917724805332,1.718954554182637,1.112571982045941,1.112571982045941,18.924925979382134,9
123963.86736718603,12397.794532814441,34.43440760199612,3.4438318146706806,93.47175632946492,9.341980684765346,353.4860664336382,35.33174403438045,0.43261191920659314,0.008668605288974618,0.4245861069747292,0.008507785405697632,0.2881053439107378,-2.461590009411596e-05,0.005367718200000003,6.071532165918825e-18,0.2827376257107378,-2.461590009411596e-05,0.0012284711816622496,2.461590009411596e-05,0.0012284711816622496,2.461590009411596e-05,-1.734723475976807e-18,-6.071532165918825e-18,4.821827725560925e-05,4.343256409616462e-06,0.0012923212486838052,0.00011640570476782307,0.0,0.0,0.0,0.0,0.0012038229327794537,2.2151984815403907e-05,0.03226423763413834,0.0005937060033420691,-0.0676886334320956,-0.09850346093500158,5.826802972535171,-8.11067956982825e-05,0.013935305689543043,0.0013917665244491673,0.1954694237389509,-2.2801512190695483e-05,0.0008909353486832609,4.218504454454072e-06,0.02387838694865345,0.000113062167593804,0.00026466930684058363,1.35902239513334e-05,0.007093529436801084,0.00036423813098043854,8.731716277247822,-6.017268751179472e-05,0.006896714356884104,0.0006890803097974185,0.0872682019717869,-1.814387903420478e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017681869162562,0.2660830377991101,0.084986822602738,4.284986822597796,4.199999999995058,7.57778714431133,0.28273762571073774,5.826802972535171,8.731716277247822,7.57778714431133,7.378565865931186,5.67361535787261,8.502158010952112,1.1539291329364918,1.1235921450209265,0.6673147394536897,0.6673147394536897,5.079091826377733,5.079091826377733,4.945561661516779,0.030090896587717336,0.8477661416823972,1.110453651131349,3.610453651131347,2.4999999999999982,0.8716772903285388,0.581683103883287,5.079091826377733,5.079091826377733,1.1472135515003445,1.7191491266018395,1.1126928671581198,1.1126928671581198,18.922769471084052,10
